function,oracle,predicted,confidence,correct,diagnostics
linear,polynomial,linear,0.5,False,"{'r2_poly': 0.9765257442651909, 'degree': 10, 'c_train': 130.13422776790208, 'r2_spline': 0.9756605472241187, 'delta_r2': -0.0008651970410722409, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.977, delta_r2=-0.001'}"
quadratic,polynomial,linear,0.5,False,"{'r2_poly': 0.9765781962409826, 'degree': 10, 'c_train': 237.73731261110825, 'r2_spline': 0.9757149324365971, 'delta_r2': -0.0008632638043855057, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.977, delta_r2=-0.001'}"
cubic,polynomial,complex,0.2053526131403849,False,"{'r2_poly': 0.7946473868596151, 'degree': 10, 'c_train': 1174.241425939656, 'r2_spline': 0.7870786496316736, 'delta_r2': -0.007568737227941491, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.795, delta_r2=-0.008'}"
poly_high,polynomial,complex,0.2684492259986162,False,"{'r2_poly': 0.7315507740013838, 'degree': 10, 'c_train': 1349.4355617128888, 'r2_spline': 0.7222873090213342, 'delta_r2': -0.009263464980049596, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.732, delta_r2=-0.009'}"
sine_simple,complex,linear,0.5,False,"{'r2_poly': 0.9833944832033741, 'degree': 10, 'c_train': 349.374709866605, 'r2_spline': 0.9802640966523716, 'delta_r2': -0.0031303865510025064, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.983, delta_r2=-0.003'}"
sine_high_freq,nonparametric,nonparametric,0.5469840627068481,True,"{'r2_poly': 0.43276528320724184, 'degree': 10, 'c_train': 10086.860338276882, 'r2_spline': 0.9797493459140899, 'delta_r2': 0.5469840627068481, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.433, delta_r2=0.547'}"
sine_modulated,nonparametric,complex,0.1142715706877131,False,"{'r2_poly': 0.8857284293122869, 'degree': 10, 'c_train': 550.3656802935317, 'r2_spline': 0.8641889206601922, 'delta_r2': -0.021539508652094752, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.886, delta_r2=-0.022'}"
chirp,complex,nonparametric,0.5241620851046701,False,"{'r2_poly': 0.4519001315993185, 'degree': 10, 'c_train': 50849.412494674274, 'r2_spline': 0.9760622167039886, 'delta_r2': 0.5241620851046701, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.452, delta_r2=0.524'}"
sawtooth,complex,nonparametric,0.2080792036106769,False,"{'r2_poly': 0.7596305366792384, 'degree': 10, 'c_train': 9690.375458403641, 'r2_spline': 0.9677097402899153, 'delta_r2': 0.2080792036106769, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.760, delta_r2=0.208'}"
step,complex,complex,0.08884242080424776,True,"{'r2_poly': 0.9111575791957522, 'degree': 10, 'c_train': 3273.002382651566, 'r2_spline': 0.9625948534165033, 'delta_r2': 0.05143727422075106, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.911, delta_r2=0.051'}"
abs_value,polynomial,complex,0.2872767932439029,False,"{'r2_poly': 0.7127232067560971, 'degree': 10, 'c_train': 3179.7300068096306, 'r2_spline': 0.6697389694948613, 'delta_r2': -0.04298423726123579, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.713, delta_r2=-0.043'}"
piecewise_linear,complex,complex,0.12129505379528949,True,"{'r2_poly': 0.8787049462047105, 'degree': 10, 'c_train': 6444.867750301792, 'r2_spline': 0.9180724066238853, 'delta_r2': 0.03936746041917483, 'tau': 0.95, 'threshold_1': 5, 'threshold_2': 0.15, 'threshold_3': 0.15, 'decision_path': 'r2_poly=0.879, delta_r2=0.039'}"
