function,n_stop,n_optimal,difference,early,late,gap_at_stop,optimal_gap
linear,20,440,-420,True,False,0.015892006659969815,-0.0011385475616312313
quadratic,20,440,-420,True,False,0.05043052142814075,-0.012605710077596588
sine,20,500,-480,True,False,0.01106708345096119,-0.0021961169461143237
sine_high,20,500,-480,True,False,0.30325448534250576,0.01306635492830066
step,20,160,-140,True,False,0.08036300879009772,0.0076630243061477366
abs,20,420,-400,True,False,0.20178861108322754,-0.02719144794501005
exp,20,440,-420,True,False,0.020431960429598606,-0.0036274857254814385
sigmoid,20,440,-420,True,False,0.03329362789257684,-0.0018562945567967004
noisy,20,420,-400,True,False,0.14627266429894392,0.011786032014369119
hetero,20,440,-420,True,False,0.058530764662170665,-0.004204568551607224
