function,n_stop,n_optimal,difference,early,late,gap_at_stop,optimal_gap
linear,40,440,-400,True,False,0.009264335582106153,-0.0011385475616312313
quadratic,40,440,-400,True,False,0.026494087077484352,-0.012605710077596588
sine,40,500,-460,True,False,0.005356971236360808,-0.0021961169461143237
sine_high,40,500,-460,True,False,0.21584975258166283,0.01306635492830066
step,40,160,-120,True,False,0.04082491243100994,0.0076630243061477366
abs,100,420,-320,True,False,0.11664651000220316,-0.02719144794501005
exp,40,440,-400,True,False,0.011079814508810681,-0.0036274857254814385
sigmoid,40,440,-400,True,False,0.01978954751667139,-0.0018562945567967004
noisy,40,420,-380,True,False,0.11735089082988004,0.011786032014369119
hetero,40,440,-400,True,False,0.03665704557502458,-0.004204568551607224
