function,category,n_train,best_degree,C_train,C_test,deltaC,R2_train,R2_test,gap,d_deltaC,d_gap,d_R2_train,d_R2_test,d2_deltaC,d2_gap,deltaC_ratio
linear,A_smooth,20,10,1689.1728429624318,215.60514609940563,-1473.5676968630262,0.98831387045058,0.9724218637906101,0.015892006659969815,,,,,,,
linear,A_smooth,40,10,235.25853077589704,215.60514609940563,-19.653384676491413,0.9816861993727163,0.9724218637906101,0.009264335582106153,72.69571560932674,-0.0003313835538931831,-0.0003313835538931831,0.0,,,0.01333727979944872
linear,A_smooth,60,10,342.81072329179375,215.60514609940563,-127.20557719238812,0.9817203574000323,0.9724218637906101,0.009298493609422143,-5.377609625794835,1.707901365799458e-06,1.707901365799458e-06,0.0,-3.9036662617560784,1.665457276294913e-05,6.472451401439585
linear,A_smooth,80,10,1855.616130087639,215.60514609940563,-1640.0109839882334,0.9795788772182166,0.9724218637906101,0.00715701342760644,-75.64027033979227,-0.00010707400909078513,-0.00010707400909078513,0.0,-3.513133035699872,-5.439095522829229e-06,12.89260282595825
linear,A_smooth,100,10,892.0453925363162,215.60514609940563,-676.4402464369106,0.9784029811428232,0.9724218637906101,0.005981117352213072,48.178536877566145,-5.879480376966839e-05,-5.879480376966839e-05,0.0,6.190940360867921,2.413960266055837e-06,0.4124608024221403
linear,A_smooth,120,10,181.05201769118742,215.60514609940563,34.553128408218214,0.9753221809770869,0.9724218637906101,0.002900317186476764,35.549668742256436,-0.00015404000828681542,-0.00015404000828681542,0.0,-0.6314434067654855,-4.762260225857351e-06,-0.05108082878010848
linear,A_smooth,140,10,387.0977760560302,215.60514609940563,-171.4926299566246,0.9742119907377105,0.9724218637906101,0.0017901269471003456,-10.30228791824214,-5.550951196882092e-05,-5.550951196882092e-05,0.0,-2.292597833024929,4.926524815899724e-06,-4.9631578342364016
linear,A_smooth,160,10,186.53635372864161,215.60514609940563,29.068792370764015,0.9723974653610705,0.9724218637906101,-2.4398429539607136e-05,10.02807111636943,-9.072626883199764e-05,-9.072626883199764e-05,0.0,1.0165179517305785,-1.7608378431588357e-06,-0.16950461590166496
linear,A_smooth,180,10,473.7924581346601,215.60514609940563,-258.1873120352544,0.974516660740408,0.9724218637906101,0.0020947969497978614,-14.362805220300922,0.00010595976896687342,0.00010595976896687342,0.0,-1.2195438168335175,9.834301889943553e-06,-8.88194145605191
linear,A_smooth,200,10,92.57972669216404,215.60514609940563,123.02541940724159,0.97467280454002,0.9724218637906101,0.002250940749409902,19.0606365721248,7.807189980602035e-06,7.807189980602035e-06,0.0,1.671172089621286,-4.907628949313569e-06,-0.47649676677544467
linear,A_smooth,220,10,485.79912713047065,215.60514609940563,-270.19398103106505,0.9754414468649213,0.9724218637906101,0.0030195830743111607,-19.660970021915332,3.843211624506293e-05,3.843211624506293e-05,0.0,-1.9360803297020066,1.5312463132230448e-06,-2.1962451526920845
linear,A_smooth,240,10,922.2680186884999,215.60514609940563,-706.6628725890943,0.9753028807367459,0.9724218637906101,0.0028810169461357393,-21.823444577901462,-6.928306408771067e-06,-6.928306408771067e-06,0.0,-0.10812372779930648,-2.2680211326917e-06,2.6153908754460633
linear,A_smooth,260,10,71.33588416333419,215.60514609940563,144.26926193607144,0.9732870603574236,0.9724218637906101,0.0008651965668134975,42.54660672625828,-0.00010079101896611209,-0.00010079101896611209,0.0,3.218502565207987,-4.6931356278670515e-06,-0.2041557120547356
linear,A_smooth,280,10,152.75635517025248,215.60514609940563,62.848790929153154,0.9733199463808462,0.9724218637906101,0.000898082590236049,-4.071023550345915,1.6443011711275712e-06,1.6443011711275712e-06,0.0,-2.3308815138302097,5.1217660068619835e-06,0.4356353535446982
linear,A_smooth,300,10,413.11141043100724,215.60514609940563,-197.5062643316016,0.9742668880695715,0.9724218637906101,0.0018450242789613824,-13.017752763037738,4.734708443626667e-05,4.734708443626667e-05,0.0,-0.44733646063459115,2.285139163256955e-06,-3.142562671639018
linear,A_smooth,320,10,232.69066047943866,215.60514609940563,-17.085514380033032,0.9755472401503082,0.9724218637906101,0.0031253763596981177,9.02103749757843,6.401760403683676e-05,6.401760403683676e-05,0.0,1.1019395130308083,8.335259800285045e-07,0.0865061897548092
linear,A_smooth,340,10,132.25808267199653,215.60514609940563,83.3470634274091,0.9736629707481823,0.9724218637906101,0.00124110695757218,5.0216288903721065,-9.421347010629688e-05,-9.421347010629688e-05,0.0,-0.19997043036031617,-7.911553707156681e-06,-4.87822968472126
linear,A_smooth,360,10,48.703618578655885,215.60514609940563,166.90152752074974,0.9737241744090596,0.9724218637906101,0.0013023106184494315,4.177723204667032,3.0601830438625743e-06,3.0601830438625743e-06,0.0,-0.04219528428525372,4.863682657507973e-06,2.002488397999915
linear,A_smooth,380,10,229.5530867016836,215.60514609940563,-13.947940602277981,0.9727203541050657,0.9724218637906101,0.0002984903144556128,-9.042473406151386,-5.019101519969093e-05,-5.019101519969093e-05,0.0,-0.6610098305409209,-2.6625599121776753e-06,-0.08356987985351978
linear,A_smooth,400,10,289.95940517994,215.60514609940563,-74.35425908053438,0.9720816826062092,0.9724218637906101,-0.0003401811844009339,-3.0203159239128197,-3.1933574942827336e-05,-3.1933574942827336e-05,0.0,0.3011078741119283,9.128720128431799e-07,5.3308413909069
