function,expected_complexity,tau,degree,r2,complexity,n_terms,achieved
linear,low,0.85,1,0.9975191969784645,1.699716236262236,1,True
linear,low,0.9,1,0.9975191969784645,1.699716236262236,1,True
linear,low,0.95,1,0.9975191969784645,1.699716236262236,1,True
linear,low,0.98,1,0.9975191969784645,1.699716236262236,1,True
quadratic,low-medium,0.85,2,0.9974585673548463,3.199680183009459,2,True
quadratic,low-medium,0.9,2,0.9974585673548463,3.199680183009459,2,True
quadratic,low-medium,0.95,2,0.9974585673548463,3.199680183009459,2,True
quadratic,low-medium,0.98,2,0.9974585673548463,3.199680183009459,2,True
cubic,medium,0.85,3,0.9975202451450813,4.699579935090622,3,True
cubic,medium,0.9,3,0.9975202451450813,4.699579935090622,3,True
cubic,medium,0.95,3,0.9975202451450813,4.699579935090622,3,True
cubic,medium,0.98,3,0.9975202451450813,4.699579935090622,3,True
poly_degree_5,medium-high,0.85,5,0.997490960367131,10.832045832772861,5,True
poly_degree_5,medium-high,0.9,5,0.997490960367131,10.832045832772861,5,True
poly_degree_5,medium-high,0.95,5,0.997490960367131,10.832045832772861,5,True
poly_degree_5,medium-high,0.98,5,0.997490960367131,10.832045832772861,5,True
poly_degree_8,high,0.85,6,0.99751801805912,40423.578306957206,6,True
poly_degree_8,high,0.9,7,0.997518071012973,32580.926661546542,7,True
poly_degree_8,high,0.95,7,0.997518071012973,32580.926661546542,7,True
poly_degree_8,high,0.98,8,0.997518151232883,16063.778729072901,8,True
sine,medium,0.85,4,0.9116794838405426,6.262185390645913,4,True
sine,medium,0.9,4,0.9116794838405426,6.262185390645913,4,True
sine,medium,0.95,6,0.9955468764813373,9.112327471760402,6,True
sine,medium,0.98,6,0.9955468764813373,9.112327471760402,6,True
sine_high_freq,high,0.85,10,0.0356674255929601,15.735802943425801,10,False
sine_high_freq,high,0.9,10,0.0356674255929601,15.735802943425801,10,False
sine_high_freq,high,0.95,10,0.0356674255929601,15.735802943425801,10,False
sine_high_freq,high,0.98,10,0.0356674255929601,15.735802943425801,10,False
piecewise,medium,0.85,1,0.9975606247339531,1.6000379593968554,1,True
piecewise,medium,0.9,1,0.9975606247339531,1.6000379593968554,1,True
piecewise,medium,0.95,1,0.9975606247339531,1.6000379593968554,1,True
piecewise,medium,0.98,1,0.9975606247339531,1.6000379593968554,1,True
