function,category,expected_complexity,n_inputs,n_outputs,tau,degree,r2,complexity,n_terms,achieved
linear,univariate_basic,very_low,1,1,0.5,1,0.9995942619871465,1.6999292053656794,1,True
linear,univariate_basic,very_low,1,1,0.7,1,0.9995942619871465,1.6999292053656794,1,True
linear,univariate_basic,very_low,1,1,0.85,1,0.9995942619871465,1.6999292053656794,1,True
linear,univariate_basic,very_low,1,1,0.9,1,0.9995942619871465,1.6999292053656794,1,True
linear,univariate_basic,very_low,1,1,0.95,1,0.9995942619871465,1.6999292053656794,1,True
linear,univariate_basic,very_low,1,1,0.99,1,0.9995942619871465,1.6999292053656794,1,True
quadratic,univariate_basic,low,1,1,0.5,2,0.9996010609886391,3.200044187658745,2,True
quadratic,univariate_basic,low,1,1,0.7,2,0.9996010609886391,3.200044187658745,2,True
quadratic,univariate_basic,low,1,1,0.85,2,0.9996010609886391,3.200044187658745,2,True
quadratic,univariate_basic,low,1,1,0.9,2,0.9996010609886391,3.200044187658745,2,True
quadratic,univariate_basic,low,1,1,0.95,2,0.9996010609886391,3.200044187658745,2,True
quadratic,univariate_basic,low,1,1,0.99,2,0.9996010609886391,3.200044187658745,2,True
cubic,univariate_basic,low_medium,1,1,0.5,3,0.999603699299927,4.700273043770845,3,True
cubic,univariate_basic,low_medium,1,1,0.7,3,0.999603699299927,4.700273043770845,3,True
cubic,univariate_basic,low_medium,1,1,0.85,3,0.999603699299927,4.700273043770845,3,True
cubic,univariate_basic,low_medium,1,1,0.9,3,0.999603699299927,4.700273043770845,3,True
cubic,univariate_basic,low_medium,1,1,0.95,3,0.999603699299927,4.700273043770845,3,True
cubic,univariate_basic,low_medium,1,1,0.99,3,0.999603699299927,4.700273043770845,3,True
poly_degree_5,univariate_poly,medium,1,1,0.5,5,0.9991117274636846,23.604703312486677,5,True
poly_degree_5,univariate_poly,medium,1,1,0.7,10,0.9991119170347514,16.551624323044482,10,True
poly_degree_5,univariate_poly,medium,1,1,0.85,10,0.9991119170347514,16.551624323044482,10,True
poly_degree_5,univariate_poly,medium,1,1,0.9,10,0.9991119170347514,16.551624323044482,10,True
poly_degree_5,univariate_poly,medium,1,1,0.95,10,0.9991119170347514,16.551624323044482,10,True
poly_degree_5,univariate_poly,medium,1,1,0.99,10,0.9991119170347514,16.551624323044482,10,True
poly_degree_10,univariate_poly,high,1,1,0.5,6,0.9990758333298427,431702594.97406846,6,True
poly_degree_10,univariate_poly,high,1,1,0.7,6,0.9990758333298427,431702594.97406846,6,True
poly_degree_10,univariate_poly,high,1,1,0.85,7,0.9991170295559992,65991130.62771276,7,True
poly_degree_10,univariate_poly,high,1,1,0.9,7,0.9991170295559992,65991130.62771276,7,True
poly_degree_10,univariate_poly,high,1,1,0.95,8,0.9991174935673166,26743362.425924513,8,True
poly_degree_10,univariate_poly,high,1,1,0.99,8,0.9991174935673166,26743362.425924513,8,True
poly_degree_15,univariate_poly,very_high,1,1,0.5,7,0.9972412423887103,146663047464130.84,7,True
poly_degree_15,univariate_poly,very_high,1,1,0.7,7,0.9972412423887103,146663047464130.84,7,True
poly_degree_15,univariate_poly,very_high,1,1,0.85,8,0.9974791853462094,77699722394061.31,8,True
poly_degree_15,univariate_poly,very_high,1,1,0.9,8,0.9974791853462094,77699722394061.31,8,True
poly_degree_15,univariate_poly,very_high,1,1,0.95,9,0.9975004974231788,30902227034504.703,9,True
poly_degree_15,univariate_poly,very_high,1,1,0.99,10,0.9975018957928716,227749747614.88712,10,True
sine_simple,univariate_trig,medium,1,1,0.5,6,0.851208130737695,10.967837822757286,6,True
sine_simple,univariate_trig,medium,1,1,0.7,6,0.851208130737695,10.967837822757286,6,True
sine_simple,univariate_trig,medium,1,1,0.85,6,0.851208130737695,10.967837822757286,6,True
sine_simple,univariate_trig,medium,1,1,0.9,8,0.9913305106265388,13.258320527852518,8,True
sine_simple,univariate_trig,medium,1,1,0.95,8,0.9913305106265388,13.258320527852518,8,True
sine_simple,univariate_trig,medium,1,1,0.99,8,0.9913305106265388,13.258320527852518,8,True
sine_high_freq,univariate_trig,high,1,1,0.5,9,0.015272217448717096,1468.6223324397433,8,False
sine_high_freq,univariate_trig,high,1,1,0.7,9,0.015272217448717096,1480.6065982624384,8,False
sine_high_freq,univariate_trig,high,1,1,0.85,9,0.015272217448717096,1485.893774360686,8,False
sine_high_freq,univariate_trig,high,1,1,0.9,9,0.015272217448717096,1487.2645237194909,8,False
sine_high_freq,univariate_trig,high,1,1,0.95,9,0.015272217448717096,1488.490983672106,8,False
sine_high_freq,univariate_trig,high,1,1,0.99,9,0.015272217448717096,1489.3829545467352,8,False
sine_superposed,univariate_trig,very_high,1,1,0.5,6,0.7073343804019306,9.57447741184289,6,True
sine_superposed,univariate_trig,very_high,1,1,0.7,6,0.7073343804019306,9.57447741184289,6,True
sine_superposed,univariate_trig,very_high,1,1,0.85,8,0.8580864182690313,12.579687565965123,8,True
sine_superposed,univariate_trig,very_high,1,1,0.9,10,0.8696384988593993,194.46518235198545,9,False
sine_superposed,univariate_trig,very_high,1,1,0.95,10,0.8696384988593993,268.4153931570204,9,False
sine_superposed,univariate_trig,very_high,1,1,0.99,10,0.8696384988593993,322.1973646515914,9,False
exp_growth,univariate_exp,medium,1,1,0.5,1,0.8757015703959017,1.6114847066378297,1,True
exp_growth,univariate_exp,medium,1,1,0.7,1,0.8757015703959017,1.6114847066378297,1,True
exp_growth,univariate_exp,medium,1,1,0.85,1,0.8757015703959017,1.6114847066378297,1,True
exp_growth,univariate_exp,medium,1,1,0.9,2,0.9923947794520751,3.0472953058964682,2,True
exp_growth,univariate_exp,medium,1,1,0.95,2,0.9923947794520751,3.0472953058964682,2,True
exp_growth,univariate_exp,medium,1,1,0.99,2,0.9923947794520751,3.0472953058964682,2,True
log_complex,univariate_log,medium_high,1,1,0.5,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.7,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.85,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.9,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.95,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.99,1,0.9965730781870914,1.57225437062294,1,True
multi_2d_linear,multivariable,medium,2,1,0.5,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.7,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.85,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.9,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.95,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.99,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.5,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.7,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.85,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.9,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.95,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.99,2,0.999598244340701,4.598879337710655,5,True
multi_3d_simple,multivariable,medium_high,3,1,0.5,2,0.9991015323120548,6.637789869672815,9,True
multi_3d_simple,multivariable,medium_high,3,1,0.7,2,0.9991015323120548,6.637789869672815,9,True
