scenario,n_params,n_train,weight_decay,early_stopping,test_mse,classical_gap,mean_delta_C,overfitting_signal,signal_ratio
xlarge_very_few,132353,20,0.0,False,8517.1337890625,7367.4576416015625,1.0356293614851353,strong_overfitting,1.0
xlarge_few,132353,50,0.0,False,5294.35302734375,3545.7994384765625,1.5709412280067205,strong_overfitting,1.0
large_very_few,33409,30,0.0,False,10029.0634765625,7571.3408203125,0.04628373734646907,no_overfitting,0.0
large_few,33409,100,0.0,False,4237.60205078125,984.17724609375,2.312340858230357,strong_overfitting,1.0
medium_few,4353,50,0.0,False,68097.9921875,38318.7001953125,0.950429460647495,strong_overfitting,1.0
small_many_no_reg,321,1000,0.0,False,81976.0,2945.775390625,0.12827144446427496,no_overfitting,0.0
xlarge_reg_early,132353,50,0.01,True,5118.99169921875,3319.2813720703125,1.4692121634255617,strong_overfitting,1.0
large_reg_early,33409,100,0.01,True,3682.84912109375,737.18310546875,1.72478542919567,strong_overfitting,1.0
large_early_only,33409,100,0.0,True,4237.60205078125,984.17724609375,2.312340858230357,strong_overfitting,1.0
medium_optimal,4353,500,0.001,True,24131.05078125,2149.365885416668,-0.82828863879873,no_overfitting,0.0
small_optimal,1153,1000,0.001,True,24986.98046875,3596.1240234375,-0.6111673122408803,no_overfitting,0.0
minimal_optimal,97,500,0.0,True,527947.1875,32873.65625,-6.3059550370098,no_overfitting,0.0
xlarge_many,132353,1500,0.0,False,3202.839599609375,128.62849934895848,-0.8208589255341003,no_overfitting,0.0
large_many,33409,1500,0.0,False,3379.136474609375,5.842203776041515,-0.7690820295696987,no_overfitting,0.0
medium_many,4353,1500,0.0,False,3738.70849609375,275.1383463541665,0.6195153517915788,no_overfitting,0.0
