scenario,config_type,n_params,input_dim,output_dim,n_train,weight_decay,early_stopping,epochs_trained,train_loss,val_loss,test_mse,classical_gap,mean_delta_C,max_delta_C,overfitting_signal,signal_ratio
basic_small_few,basic,25,1,1,30,0.0,False,800,5010586.0,6128213.6,6088560.0,1117627.5999999996,-5.642138569395564,-5.642138569395564,no_overfitting,0.0
basic_medium_few,basic,4353,1,1,50,0.0,False,800,490048.3125,711578.68125,725090.875,221530.36875000002,9.722120351253073,9.722120351253073,strong_overfitting,1.0
basic_large_few,basic,66561,1,1,50,0.0,False,800,89324.828125,133363.37578125,135387.984375,44038.54765625001,2.055625802676582,2.055625802676582,strong_overfitting,1.0
basic_xlarge_extreme,basic,526849,1,1,20,0.0,False,800,42873.75,67149.37578125,66880.0546875,24275.625781249997,-52.17677832368553,-0.3208543489075506,no_overfitting,0.0
basic_deep_narrow,basic,4321,1,1,40,0.0,False,800,80900.3515625,101838.78359375,101535.8046875,20938.432031250006,9.672428860664104,9.672428860664104,strong_overfitting,1.0
basic_shallow_wide,basic,3073,1,1,60,0.0,False,800,593303.875,1016542.09375,1005715.1875,423238.21875,6.777740218725074,6.777740218725075,strong_overfitting,1.0
reg_small_optimal,basic,25,1,1,800,0.001,True,58,6202894.125,6630472.611111111,6296982.5,427578.486111111,-6.582586598963501,-6.5825865989635,no_overfitting,0.0
reg_medium_optimal,basic,4353,1,1,1000,0.01,True,800,49811.7900390625,50194.3193359375,50212.87890625,382.529296875,-63.58626045378363,3.9674093757429176,strong_overfitting,0.8333333333333334
reg_large_controlled,basic,66561,1,1,800,0.05,True,622,39425.767578125,41497.620225694445,41351.45703125,2071.8526475694453,0.8325824312614287,0.8325824312614287,no_overfitting,0.0
reg_xlarge_heavy,basic,526849,1,1,500,0.1,True,419,42100.814453125,36548.725911458336,38567.26953125,5552.088541666664,-63.09722061585959,-0.8586152166020415,no_overfitting,0.0
reg_deep_l2,basic,12673,1,1,1000,0.02,True,338,37697.7421875,36838.76953125,37687.12890625,858.97265625,-67.94872850348126,-0.3950586739547113,no_overfitting,0.0
reg_shallow_l2,basic,1537,1,1,1200,0.005,True,800,411112.41875,387768.078125,409144.75,23344.34062500001,-50.784986917445856,6.158708160410951,strong_overfitting,0.8333333333333334
multi2d_small_overfit,multivariate,17025,2,1,40,0.0,False,800,0.2215810865163803,0.42795355916023253,0.39720189571380615,0.20637247264385222,-0.00044782634344050126,0.0006162047107522994,no_overfitting,0.0
multi2d_large_overfit,multivariate,132609,2,1,60,0.0,False,800,0.011024362407624722,0.02452980596572161,0.023129915818572044,0.013505443558096887,-3.622422775547326e-05,9.552198266860046e-05,no_overfitting,0.0
multi2d_optimal,multivariate,4417,2,1,1000,0.01,True,800,0.043305388651788235,0.03493992332369089,0.031632035970687866,0.008365465328097343,-0.00016959941757995386,6.371045525987995e-05,no_overfitting,0.0
multi3d_complex,multivariate,33665,3,1,80,0.0,False,800,0.08611416816711426,0.12821796163916588,0.12482357770204544,0.04210379347205162,0.00030193255630125054,0.0003624881459636242,no_overfitting,0.0
multi3d_controlled,multivariate,17153,3,1,1200,0.01,True,640,0.058735990524291994,0.09913450665771961,0.09805294871330261,0.04039851613342762,0.0006371922375261185,0.0007582181136891464,no_overfitting,0.0
highdim_4d_overfit,highdim,133121,4,1,100,0.0,False,800,0.1234758123755455,0.16046985611319542,0.15500064194202423,0.03699404373764992,0.0005325603194683559,0.0006256100556010225,no_overfitting,0.0
highdim_5d_extreme,highdim,266241,5,1,80,0.0,False,800,70.42461395263672,71.56386642456054,68.83651733398438,1.1392524719238253,0.3374271994498314,2.0000000469463473,no_overfitting,0.0
highdim_4d_optimal,highdim,17281,4,1,1500,0.01,True,742,0.1721525900065899,0.18892112587179458,0.20344847440719604,0.016768535865204687,-0.0010033003693591762,-1.6671380649313505e-05,no_overfitting,0.0
highdim_5d_controlled,highdim,67585,5,1,1500,0.02,True,693,0.3368699898322423,0.20900501310825348,0.21780207753181458,0.12786497672398883,0.33364973893228544,1.9999999956473289,no_overfitting,0.0
highdim_3d_many_data,highdim,527873,3,1,2000,0.0,True,207,0.33491618279367685,0.14565852036078772,0.14419668912887573,0.18925766243288913,0.0009539513352378274,0.0010992208003095527,no_overfitting,0.0
multiout_2out_overfit,multioutput,67588,2,4,50,0.0,False,800,16.849082946777344,35.250179290771484,35.94850540161133,18.40109634399414,-16.404251802773814,10.000001002115283,weak_overfitting,0.3333333333333333
multiout_3out_complex,multioutput,528900,2,4,80,0.0,False,800,0.22077755630016327,0.44849195182323454,0.40251657366752625,0.22771439552307127,2.000497620102267,13.999997473751364,no_overfitting,0.0
multiout_2out_optimal,multioutput,17412,2,4,1000,0.01,True,800,3.253476917743683,3.3082746863365173,3.0811831951141357,0.05479776859283447,-7.500029937933733,33.00000088384121,no_overfitting,0.16666666666666666
multiout_4out_extreme,multioutput,791556,2,4,100,0.0,False,800,0.563987135887146,0.5520566672086715,0.5345444083213806,0.01193046867847447,4.667723451085663,28.000000769561552,no_overfitting,0.16666666666666666
multiout_3out_controlled,multioutput,67588,2,4,1500,0.02,True,800,0.97551628947258,0.7612290552684239,0.7745435237884521,0.21428723420415607,-17.00140464803376,-1.9131224604507224e-08,no_overfitting,0.0
noise_high_overfit,basic,66561,1,1,60,0.0,False,800,70899.21875,105031.44921875,101777.0625,34132.23046875,5.118574548076193,5.118574548076193,strong_overfitting,1.0
noise_low_precise,basic,4353,1,1,1500,0.005,True,800,42404.497395833336,38824.48493303572,42968.2578125,3580.0124627976184,-83.9767737095442,0.547108850295217,no_overfitting,0.0
complex_func_overfit,complex,264193,1,1,100,0.0,False,800,78609.6953125,69912.49296875,69491.84375,8697.202343750003,6.416451154237291,6.41645115423729,strong_overfitting,1.0
complex_func_optimal,complex,66561,1,1,2000,0.01,True,554,38188.999755859375,35956.139322916664,39730.61328125,2232.8604329427108,-60.78252266514741,-0.6943805112615937,no_overfitting,0.0
minimal_architecture,basic,33,1,1,500,0.0,True,70,6773607.5,6571460.611111111,6353708.5,202146.888888889,-69.15718362795654,-6.918578228698998,no_overfitting,0.0
